,Unnamed: 0,level_0,index,freq,syl,let,word,imag,conc,meaning,list,id,is_shown,recognized
223,223,63,250,1,2,6,rubble,5.23,6.18,5.4,1,251,0,False
224,224,55,226,23,1,4,claw,6.33,6.89,6.67,1,227,0,False
225,225,239,897,19,2,9,fireplace,6.83,6.96,7.08,1,898,0,True
226,226,116,416,100,2,5,river,6.63,6.83,7.52,1,417,1,False
227,227,99,362,14,3,7,gravity,3.6,2.56,6.24,1,363,0,True
228,228,143,547,2,2,6,feline,4.67,5.31,5.42,1,548,0,False
229,229,178,659,50,2,6,advice,3.13,2.08,5.39,1,660,1,False
230,230,95,354,50,2,7,product,4.2,5.8,5.12,1,355,1,False
231,231,102,374,5,3,10,underworld,4.37,4.43,5.76,1,375,1,True
232,232,166,621,9,1,6,corpse,6.5,6.89,6.52,1,622,1,False
233,233,237,885,4,2,7,dreamer,5.33,5.1,5.04,1,886,0,False
234,234,188,707,4,1,4,pact,3.5,3.77,5.12,1,708,1,True
235,235,236,880,1,2,7,doorman,6.4,6.52,6.28,1,881,0,False
236,236,29,121,26,1,5,geese,6.53,6.83,7.48,1,122,1,True
237,237,126,475,26,3,9,attendant,5.03,6.07,4.5,1,476,0,True
238,238,183,680,50,1,3,bar,6.4,6.83,6.08,1,681,0,False
239,239,174,644,3,4,12,supplication,2.8,2.89,4.04,1,645,1,True
